lag_bin,dist_from_km,dist_to_km,dist_mid_km,n_pairs,semivariance,pred_col,residual_definition
1,0.0,34.854774781059,14.531277912189433,13737,4.126393717778422,xgboost_pred,Value - xgboost_pred
2,34.854774781059,69.709549562118,52.92755866090106,14330,4.568863748222766,xgboost_pred,Value - xgboost_pred
3,69.709549562118,104.56432434317699,87.11057783035433,20743,4.8302519785305345,xgboost_pred,Value - xgboost_pred
4,104.56432434317699,139.419099124236,124.5184196750995,17868,4.67941806011255,xgboost_pred,Value - xgboost_pred
5,139.419099124236,174.273873905295,155.04075021847044,16227,4.152333007292827,xgboost_pred,Value - xgboost_pred
6,174.273873905295,209.12864868635398,191.48310325434323,13040,2.524587569818079,xgboost_pred,Value - xgboost_pred
7,209.12864868635398,243.983423467413,225.84616180193296,16425,4.569391643752562,xgboost_pred,Value - xgboost_pred
8,243.983423467413,278.838198248472,262.27844807107016,20009,5.645076688676845,xgboost_pred,Value - xgboost_pred
9,278.838198248472,313.692973029531,295.04419445419734,17482,6.668286459319533,xgboost_pred,Value - xgboost_pred
10,313.692973029531,348.54774781059,332.28372310337954,11479,7.862383842323792,xgboost_pred,Value - xgboost_pred
11,348.54774781059,383.402522591649,363.2937094318946,11516,8.907129198218453,xgboost_pred,Value - xgboost_pred
12,383.402522591649,418.25729737270797,399.8342900897743,5491,6.065169914108189,xgboost_pred,Value - xgboost_pred
13,418.25729737270797,453.112072153767,436.25291383097385,4808,5.464278842270735,xgboost_pred,Value - xgboost_pred
14,453.112072153767,487.966846934826,467.8231067219918,3756,5.9059996363404075,xgboost_pred,Value - xgboost_pred
15,487.966846934826,522.821621715885,507.7659084144535,3089,3.7230722543234784,xgboost_pred,Value - xgboost_pred
