lag_bin,dist_from_km,dist_to_km,dist_mid_km,n_pairs,semivariance,pred_col,residual_definition
1,0.0,47.476141530108485,25.187520170928003,7255,3.1238239875337213,xgboost_pred,Value - xgboost_pred
2,47.476141530108485,94.95228306021697,69.38774544413587,7729,3.2399190227806347,xgboost_pred,Value - xgboost_pred
3,94.95228306021697,142.42842459032545,117.97305467634324,7630,2.4475335670491063,xgboost_pred,Value - xgboost_pred
4,142.42842459032545,189.90456612043394,166.20083440652758,4536,3.840730889319812,xgboost_pred,Value - xgboost_pred
5,189.90456612043394,237.38070765054243,214.81631928038433,6185,3.4052545841242923,xgboost_pred,Value - xgboost_pred
6,237.38070765054243,284.8568491806509,260.6769796606423,5888,4.624965460045486,xgboost_pred,Value - xgboost_pred
7,284.8568491806509,332.3329907107594,306.25482950971224,5613,2.7097575172065422,xgboost_pred,Value - xgboost_pred
8,332.3329907107594,379.8091322408679,354.7231956671802,2671,2.0107466466342263,xgboost_pred,Value - xgboost_pred
9,379.8091322408679,427.28527377097635,402.0863928275619,1332,1.5395491777681034,xgboost_pred,Value - xgboost_pred
10,427.28527377097635,474.76141530108487,448.3961461197694,630,1.7152087970163963,xgboost_pred,Value - xgboost_pred
11,474.76141530108487,522.2375568311934,499.0350898190833,532,0.9241044055534587,xgboost_pred,Value - xgboost_pred
12,522.2375568311934,569.7136983613018,546.7807612029809,755,0.9193303127146281,xgboost_pred,Value - xgboost_pred
13,569.7136983613018,617.1898398914103,594.0993891589952,1182,1.2376784356448534,xgboost_pred,Value - xgboost_pred
14,617.1898398914103,664.6659814215188,640.7844328229313,1671,1.3716376604780598,xgboost_pred,Value - xgboost_pred
15,664.6659814215188,712.1421229516272,686.7859722807874,2444,1.3694979119407635,xgboost_pred,Value - xgboost_pred
