Country,STATN,MYEAR,DATE,Latitude,Longitude,DEPHU,DEPHL,MATRX,PARGROUP,PARAM,BASIS,QFLAG,Value,MUNIT,VFLAG,tblAnalysisID,tblParamID,tblSampleID,year,month,dayofyear,sample_depth_m
France,Point 1 SRN Dunkerque,1992,1992-01-07,51.0695,2.33483333,0.0,,WT,O-MAJ,CPHL,W,,2.4,ug/l,,166828,42696841,1760170,1992,1,7,0.0
France,Point 3 SRN Dunkerque,1992,1992-01-07,51.10983333,2.2835,0.0,,WT,O-MAJ,CPHL,W,,2.5,ug/l,,166829,42696956,1760186,1992,1,7,0.0
France,Point 4 SRN Dunkerque,1992,1992-01-07,51.15216667,2.25216667,0.0,,WT,O-MAJ,CPHL,W,,1.5,ug/l,,166829,42696935,1760201,1992,1,7,0.0
France,Point 1 SRN Boulogne,1992,1992-01-09,50.754,1.55,0.0,,WT,O-MAJ,CPHL,W,,0.133,ug/l,,166829,42696924,1760216,1992,1,9,0.0
France,Point 2 SRN Boulogne,1992,1992-01-09,50.754,1.52033333,0.0,,WT,O-MAJ,CPHL,W,,0.05,ug/l,,166829,42696922,1760227,1992,1,9,0.0
France,Point 3 SRN Boulogne,1992,1992-01-09,50.749,1.45083333,0.0,,WT,O-MAJ,CPHL,W,,0.09,ug/l,,166829,42696909,1760241,1992,1,9,0.0
France,Point 1 SRN Boulogne,1992,1992-02-05,50.754,1.55,0.0,,WT,O-MAJ,CPHL,W,,2.67,ug/l,,166829,42696931,1760211,1992,2,36,0.0
France,Point 2 SRN Boulogne,1992,1992-02-05,50.754,1.52033333,0.0,,WT,O-MAJ,CPHL,W,,1.14,ug/l,,166829,42696918,1760223,1992,2,36,0.0
France,Point 3 SRN Boulogne,1992,1992-02-05,50.749,1.45083333,0.0,,WT,O-MAJ,CPHL,W,,0.6,ug/l,,166829,42696907,1760239,1992,2,36,0.0
France,Point 1 SRN Dunkerque,1992,1992-02-06,51.0695,2.33483333,0.0,,WT,O-MAJ,CPHL,W,,4.8,ug/l,,166829,42696836,1760165,1992,2,37,0.0
France,Point 3 SRN Dunkerque,1992,1992-02-06,51.10983333,2.2835,0.0,,WT,O-MAJ,CPHL,W,,2.6,ug/l,,166829,42696954,1760184,1992,2,37,0.0
France,Point 4 SRN Dunkerque,1992,1992-02-06,51.15216667,2.25216667,0.0,,WT,O-MAJ,CPHL,W,,2.1,ug/l,,166829,42696946,1760200,1992,2,37,0.0
France,Point 1 SRN Dunkerque,1992,1992-03-04,51.0695,2.33483333,0.0,,WT,O-MAJ,CPHL,W,,7.9,ug/l,,166829,42696968,1760174,1992,3,64,0.0
