feature,importance
s3_TSM_NN_mean,0.05711385169185501
s3_TSM_NN_max,0.04481836909576819
s3_TSM_NN_min,0.04133734267419107
s3_ADG443_NN_min,0.037877081550725784
s3_CHL_OC4ME_max,0.03679436112863671
s3_KD490_M07_max,0.0349035578617944
s3_CHL_OC4ME_mean,0.033331981387427226
s3_ADG443_NN_max,0.031571963429745505
s3_CHL_NN_mean,0.030674639965897185
s3_B11_min,0.029840695479853206
s3_ADG443_NN_mean,0.029001529263182405
Latitude,0.028559121455097446
s3_KD490_M07_mean,0.026442980117706377
s3_B11_max,0.02555747133306999
s3_CHL_NN_min,0.02226467066896234
s3_B10_min,0.021417312803564854
s3_CHL_NN_max,0.020330348040023087
s3_B11_mean,0.018181867835764677
s3_B17_max,0.017307460128147302
s3_B03_min,0.017289908858074663
s3_B07_min,0.016506266587934856
s3_KD490_M07_stDev,0.016422330612036268
s3_B08_min,0.01632319693733094
s3_CHL_NN_stDev,0.015034047327990645
s3_B04_min,0.014675129667476338
s3_TSM_NN_stDev,0.014651576642280334
s3_B10_mean,0.013994972333474602
s3_B17_min,0.013348249167647925
Longitude,0.012997966533386083
s3_B17_mean,0.012935224448685464
s3_CHL_OC4ME_stDev,0.01269482223577608
s3_B11_stDev,0.01266058365019253
s3_CHL_OC4ME_min,0.01239097406196877
s3_B10_max,0.01180070014300639
s3_B04_mean,0.011581410920242884
s3_B08_mean,0.01155579965171864
s3_KD490_M07_min,0.011136805621142283
s3_ADG443_NN_stDev,0.010873163257810911
doy_cos,0.009432568446728348
s3_B17_stDev,0.009408216423282252
s3_B03_mean,0.008978047385198078
s3_B06_min,0.008879871344628395
s3_B08_max,0.008875559313471478
doy_sin,0.008713606941634722
s3_B07_max,0.008616684207980568
s3_B06_stDev,0.008574845163489402
s3_B07_mean,0.008552727411718994
s3_B06_mean,0.008395547922658751
s3_B08_stDev,0.008322605334876049
s3_B03_max,0.008097946356720126
s3_B06_max,0.0080851062376002
s3_B10_stDev,0.008040804047630789
s3_B07_stDev,0.007780340308737034
s3_B04_max,0.00760745523716037
s3_B03_stDev,0.0061600180292248185
s3_B04_stDev,0.006057806727172856
valid_pixel_count,0.005220508590497563
