feature,importance_gain
s3_TSM_NN_mean,0.13591395
s3_TSM_NN_max,0.065897204
s3_KD490_M07_max,0.042556446
s3_CHL_OC4ME_max,0.042310216
s3_TSM_NN_min,0.03611697
s3_B08_mean,0.029844932
s3_CHL_OC4ME_mean,0.028561624
s3_ADG443_NN_min,0.028403448
s3_B08_min,0.026814742
s3_CHL_NN_max,0.019291744
s3_B10_min,0.01927352
s3_CHL_NN_mean,0.018873211
s3_B03_min,0.018249966
s3_B07_mean,0.018011997
s3_B07_max,0.01692997
s3_B17_mean,0.016432539
s3_KD490_M07_mean,0.016289162
s3_B11_min,0.016232554
s3_ADG443_NN_mean,0.016071156
s3_B10_mean,0.015456102
s3_B11_mean,0.014840217
s3_KD490_M07_stDev,0.014664709
s3_B10_stDev,0.013490504
s3_CHL_NN_min,0.013477096
s3_B04_min,0.01335233
s3_ADG443_NN_max,0.013206155
s3_CHL_NN_stDev,0.013002339
s3_CHL_OC4ME_stDev,0.012775345
s3_B17_min,0.0126630785
s3_B06_stDev,0.012623026
s3_B07_min,0.012443009
s3_B11_stDev,0.011811511
s3_B06_mean,0.011564709
Longitude,0.011545618
s3_B04_mean,0.011310233
s3_B03_mean,0.011202752
Latitude,0.010207063
s3_B07_stDev,0.009877328
s3_B08_stDev,0.009581964
s3_CHL_OC4ME_min,0.009390698
doy_sin,0.009245051
s3_B04_stDev,0.009234623
valid_pixel_count,0.009086445
s3_KD490_M07_min,0.009030436
s3_TSM_NN_stDev,0.008531398
s3_B06_min,0.008450862
s3_B17_max,0.008334067
s3_B03_stDev,0.0083298115
s3_B03_max,0.007957086
s3_B17_stDev,0.007371492
doy_cos,0.0068834983
s3_B10_max,0.0067418143
s3_B08_max,0.006725942
s3_B06_max,0.006126806
s3_B11_max,0.0059243483
s3_ADG443_NN_stDev,0.0057981806
s3_B04_max,0.005667026
