feature,importance
s3_B11_min,0.08567354316412351
s3_B11_mean,0.05000207856368265
s3_B10_min,0.0495644848112355
s3_B08_min,0.047249303066102116
s3_B04_min,0.04182126431143824
s3_B03_min,0.03974528421787568
s3_B11_max,0.03656642829812963
s3_B10_mean,0.03453362211102828
s3_B04_mean,0.033892731775991745
s3_B06_mean,0.03370495598079821
s3_B06_max,0.03348017764788173
s3_B17_max,0.03268252672537623
s3_B07_min,0.031695190956251014
s3_B06_min,0.031323709222495666
s3_B08_mean,0.030201933954845817
s3_B04_max,0.02945868574168325
s3_B17_mean,0.028287554362543113
s3_B17_stDev,0.027888754698215196
s3_B08_max,0.02663637039651585
s3_B03_mean,0.025843449758928227
s3_B03_max,0.025788829230981324
s3_B07_mean,0.023402527514246756
s3_B10_max,0.023300745277395427
s3_B11_stDev,0.022960352629632724
s3_B07_max,0.02147890548254221
s3_B17_min,0.02067233058827022
s3_B06_stDev,0.020445068243218862
s3_B08_stDev,0.019974260098215676
s3_B04_stDev,0.019893443922225234
s3_B03_stDev,0.01740869238651099
s3_B07_stDev,0.017279313716077285
s3_B10_stDev,0.01714348114554159
