STATN,DATE,Country,MYEAR,Latitude,Longitude,DEPHU,DEPHL,MATRX,PARGROUP,PARAM,BASIS,QFLAG,Value,MUNIT,VFLAG,tblAnalysisID,tblParamID,tblSampleID,year,month,dayofyear,sample_depth_m,sat_interval_from,sat_interval_to,sat_interval_mid_utc,sampleCount,noDataCount,valid_pixel_count,s3_CHL_OC4ME_mean,s3_CHL_OC4ME_stDev,s3_CHL_OC4ME_min,s3_CHL_OC4ME_max,s3_CHL_NN_mean,s3_CHL_NN_stDev,s3_CHL_NN_min,s3_CHL_NN_max,s3_TSM_NN_mean,s3_TSM_NN_stDev,s3_TSM_NN_min,s3_TSM_NN_max,s3_KD490_M07_mean,s3_KD490_M07_stDev,s3_KD490_M07_min,s3_KD490_M07_max,s3_ADG443_NN_mean,s3_ADG443_NN_stDev,s3_ADG443_NN_min,s3_ADG443_NN_max,s3_B03_mean,s3_B03_stDev,s3_B03_min,s3_B03_max,s3_B04_mean,s3_B04_stDev,s3_B04_min,s3_B04_max,s3_B06_mean,s3_B06_stDev,s3_B06_min,s3_B06_max,s3_B07_mean,s3_B07_stDev,s3_B07_min,s3_B07_max,s3_B08_mean,s3_B08_stDev,s3_B08_min,s3_B08_max,s3_B10_mean,s3_B10_stDev,s3_B10_min,s3_B10_max,s3_B11_mean,s3_B11_stDev,s3_B11_min,s3_B11_max,s3_B17_mean,s3_B17_stDev,s3_B17_min,s3_B17_max,sat_time_diff_hours,has_any_numeric_value,query_status,query_error,s3_buffer_m,s3_day_window,s3_max_cloud,s3_mosaicking_order,s3_chunk_name,doy_sin,doy_cos,spatial_block
LODSGT,2017-01-02,The Netherlands,2017,51.51533333,4.127,1.0,1.0,SPM,O-MAJ,CPHL,W,,0.49,ug/l,A,580733.0,51856334.0,2278979.0,2017,1,2,1.0,2017-01-03T00:00:00+00:00,2017-01-04T00:00:00+00:00,2017-01-03T12:00:00+00:00,64.0,5.0,59.0,0.0862137895014326,0.3401678035061614,-0.4409448802471161,0.4724409282207489,0.5957560300574466,0.6960736953269339,-0.4409448802471161,1.8110235929489136,-0.0472107945104776,0.7683275796386023,-1.2390294075012207,1.3700124025344849,-0.8156946473202463,0.0684158867209271,-0.960629940032959,-0.712598443031311,-0.3291739023337929,1.0227583012592372,-1.8188976049423216,1.1929134130477903,0.0801912654128114,0.0500736725908814,0.0267464239150285,0.1791131347417831,0.072543430568303,0.0553906585615889,0.0106326499953866,0.1832697540521621,0.0742848478573358,0.0596322941400532,0.0114566497504711,0.1937986463308334,0.063988108987036,0.0629763516746135,-0.0029541910625994,0.1894772201776504,0.0612740299979647,0.0644710833777754,-0.0084841446951031,0.188470110297203,0.060450340292892,0.0647696329532053,-0.0107364114373922,0.1874446868896484,0.0610871958700245,0.0654136557504589,-0.0024231688585132,0.1892208606004715,0.0651736747334371,0.0722522941510773,-0.0003723250119946,0.2163029909133911,36.0,True,ok,,1200.0,7.0,100.0,mostRecent,month_2017_01,0.03439806061360801,0.9994082116062598,5_114
WISSKKE,2017-01-02,The Netherlands,2017,51.6015,3.7205,1.0,1.0,SPM,O-MAJ,CPHL,W,,0.77,ug/l,A,580733.0,51856336.0,2278980.0,2017,1,2,1.0,2016-12-27T00:00:00+00:00,2016-12-28T00:00:00+00:00,2016-12-27T12:00:00+00:00,64.0,5.0,59.0,0.6536767543372463,0.0778204919148694,0.4881889820098877,0.8031495809555054,0.5429066941142082,0.0719831834570498,0.0944881811738014,0.6141732335090637,0.6594046920032826,0.085574204202258,0.5546867847442627,0.9170536994934082,-0.5940878158908782,0.0474919775473302,-0.665354311466217,-0.4881889820098877,-0.3638729566739778,0.0602429712803918,-0.4015748202800751,-0.0078740268945693,0.0192174547809665,0.0019618584430738,0.0150090036913752,0.0243659783154726,0.0292770799123129,0.0017441723911161,0.0266731791198253,0.033558152616024,0.0388159243610956,0.0020366361429251,0.0360484644770622,0.0452040173113346,0.0155797519926297,0.0024655115803163,0.0127750495448708,0.0237250905483961,0.0098418581883533,0.0019848063585583,0.0075930058956146,0.0159794930368661,0.0085011128083629,0.0018702113622606,0.0061830510385334,0.0145329153165221,0.0044171154633227,0.0014243585959433,0.0025025187060236,0.0092959385365247,0.0001726631591613,0.0005822127382514,-0.0007934804307296,0.0015869633061811,132.0,True,ok,,1200.0,7.0,100.0,mostRecent,month_2017_01,0.03439806061360801,0.9994082116062598,5_114
ZIJPE,2017-01-02,The Netherlands,2017,51.64466667,4.097,1.0,1.0,SPM,O-MAJ,CPHL,W,,0.43,ug/l,A,580733.0,51856337.0,2278981.0,2017,1,2,1.0,2017-01-05T00:00:00+00:00,2017-01-06T00:00:00+00:00,2017-01-05T12:00:00+00:00,64.0,49.0,15.0,1.7921259880065916,0.3072117571902404,1.1653543710708618,2.0,-0.0440945029258728,0.7292137881771035,-0.9448819160461426,0.6614173054695129,1.2093630373477935,1.1102445077760217,-0.2062837332487106,2.3665213584899902,0.6622047225634256,0.4167311217028679,-0.1456692963838577,1.0,1.0472440958023073,0.986894104709974,-0.5787401795387268,1.7834645509719849,0.0060304584059243,0.0099114971922643,-0.0043275239877402,0.0272591337561607,0.0098953225184232,0.0098823723867676,0.0014587856130674,0.028998689725995,0.0350144982337951,0.0180625684859676,0.0116397608071565,0.0618854351341724,0.035471054764154,0.0249057592940488,0.0013122967211529,0.071059301495552,0.0358299513037006,0.0274816142780899,-0.0019837024156004,0.0742454305291175,0.036739403490598,0.0279739645808277,-0.0010864580981433,0.0767357423901557,0.0610101634733534,0.0426122706728096,-0.0002624583721626,0.1118747517466545,0.1118625464844323,0.0744040074955986,-0.0001159695311798,0.2010498344898224,84.0,True,ok,,1200.0,7.0,100.0,mostRecent,month_2017_01,0.03439806061360801,0.9994082116062598,5_114
IrishSea_IrSGyreIntermed_wa02,2017-01-04,United Kingdom,2017,54.07,-5.5,36.3,,WT,O-MAJ,CPHL,W,,0.2,ug/l,,578943.0,51707225.0,2275530.0,2017,1,4,36.3,2017-01-03T00:00:00+00:00,2017-01-04T00:00:00+00:00,2017-01-03T12:00:00+00:00,64.0,37.0,27.0,-0.1551472804060688,0.1112484226795838,-0.2992126047611236,0.0472440868616104,0.4549431215833736,0.0381757244425097,0.3622047305107116,0.5196850299835205,0.5365684462918177,0.1085981832962159,0.2104382216930389,0.6996335983276367,-0.9387576602123402,0.0246293858787473,-0.996062994003296,-0.9015747904777528,-0.696121335029602,0.0661573237196655,-0.8937007784843445,-0.6181102395057678,0.0532269949714342,0.0090956800696934,0.0434095300734043,0.0687337890267372,0.0411050432810077,0.011098143341806,0.0292184222489595,0.056813258677721,0.0315995444026258,0.0086840196580169,0.0225348677486181,0.0443433970212936,0.0129520565409351,0.0056879060190322,0.0063295396976172,0.02246162481606,0.0078948002860501,0.005341548070209,0.0023010964505374,0.0176824256777763,0.0059477193539755,0.0048097887155068,0.0008362079970538,0.013672293163836,0.0032003752152107,0.0036217275871166,-0.000390636123484,0.0094058057293295,-0.0007514327350051,0.000786972365946,-0.0022034356370568,0.0001953192695509,12.0,True,ok,,1200.0,7.0,100.0,mostRecent,month_2017_01,0.06875540848113941,0.9976335468520451,-8_120
IrishSea_IrSGyreOpenSea_wa01,2017-01-04,United Kingdom,2017,53.95,-5.5,55.6,,WT,O-MAJ,CPHL,W,,0.18,ug/l,,578943.0,51707215.0,2275544.0,2017,1,4,55.6,2017-01-03T00:00:00+00:00,2017-01-04T00:00:00+00:00,2017-01-03T12:00:00+00:00,64.0,4.0,60.0,0.0661417248348395,0.0480078256121865,-0.0314960703253746,0.188976377248764,0.2461942163606485,0.0668111759611802,0.1574802994728088,0.3937007784843445,0.4592635090152422,0.0753504430908903,0.3553850054740906,0.5909234881401062,-0.91751968562603,0.0246645094854867,-0.9724409580230712,-0.8661417365074158,-0.6538714021444321,0.0469274821837536,-0.7362204790115356,-0.5590551495552063,0.0466628024354576,0.0031934529318899,0.0411755740642547,0.0532609038054943,0.0425861398999889,0.0026156137741717,0.0380809977650642,0.0469985045492649,0.0340015885109702,0.0018699039475277,0.0309762880206108,0.0376964658498764,0.0116052746927986,0.0014509827878013,0.0099734496325254,0.0156682040542364,0.0061799990983369,0.0012750639762466,0.0038941625971347,0.009808650240302,0.0043940559223604,0.0009733939125524,0.0026856297627091,0.0071169175207614,0.0022293779659473,0.0011556096935715,-0.0007202360429801,0.0045899846591055,0.0002404866651583,0.0006156587323851,-0.000500502763316,0.002081363229081,12.0,True,ok,,1200.0,7.0,100.0,mostRecent,month_2017_01,0.06875540848113941,0.9976335468520451,-8_120
IrishSea_IrSGyreIntermed_wa03,2017-01-08,United Kingdom,2017,54.25,-5.2,58.1,,WT,O-MAJ,CPHL,W,,0.15,ug/l,,578943.0,51707227.0,2275533.0,2017,1,8,58.1,2017-01-07T00:00:00+00:00,2017-01-08T00:00:00+00:00,2017-01-07T12:00:00+00:00,64.0,54.0,10.0,-0.36377954185009,0.0407323315587346,-0.4251968562602997,-0.3307086825370788,0.1795275554060935,0.1304712824798617,0.0472440868616104,0.3622047305107116,0.194131713360548,0.0963684869984653,0.1017281487584114,0.3372666537761688,-1.0267716407775878,0.0191906327499036,-1.0551180839538574,-1.0078740119934082,-1.1023621916770934,0.1071705297023297,-1.248031497001648,-0.9724409580230712,0.1042701512575149,0.0057777459743163,0.0958708450198173,0.1103183105587959,0.0733426921069622,0.0044317800023779,0.0665730759501457,0.0762596502900123,0.0480202659964561,0.004602451254622,0.0410290844738483,0.0516861490905284,0.022712486423552,0.0027877540753388,0.0185613594949245,0.0251350458711385,0.0126102493144571,0.0022878921801821,0.0091494498774409,0.0144230490550398,0.0108450586907565,0.0024441890103595,0.0072084730491042,0.0129764713346958,0.0086458944249898,0.0010970857774353,0.0069704283960163,0.0093874940648674,-0.0010992759082,0.000408715208056,-0.0015991691034287,-0.0007385471253655,12.0,True,ok,,1200.0,7.0,100.0,mostRecent,month_2017_01,0.13718540405660057,0.9905453876091833,-8_120
BOCHTVWTM,2017-01-10,The Netherlands,2017,53.335,6.944,1.0,1.0,SPM,O-MAJ,CPHL,W,,5.8,ug/l,A,580733.0,51856495.0,2279173.0,2017,1,10,1.0,2017-01-10T00:00:00+00:00,2017-01-11T00:00:00+00:00,2017-01-10T12:00:00+00:00,64.0,59.0,5.0,0.63937007188797,0.0125984191894531,0.6141732335090637,0.6456692814826965,0.9354330539703368,0.012598443031311,0.9291338324546814,0.960629940032959,1.3555177211761475,0.0797206878662109,1.315657377243042,1.5149590969085691,-0.6299212574958801,0.0,-0.6299212574958801,-0.6299212574958801,0.0944881781935691,0.0147309363308475,0.0708661302924156,0.1102362126111984,0.133009435236454,0.0067130956791414,0.1195837333798408,0.136429950594902,0.1224768862128257,0.0075992197474718,0.1072786673903465,0.1263222247362136,0.1539536774158477,0.0092471448986793,0.1354594528675079,0.158604696393013,0.1524851262569427,0.014070292702594,0.1243446171283721,0.1595568805932998,0.1406598150730133,0.0180181369074127,0.1046235561370849,0.149687185883522,0.1377629935741424,0.0202227897224934,0.0973174273967742,0.1478926986455917,0.1376860871911049,0.0226471811164897,0.092391736805439,0.1490279883146286,0.1386346019804477,0.0451955071036463,0.048243660479784,0.1612964272499084,12.0,True,ok,,1200.0,7.0,100.0,mostRecent,month_2017_01,0.17117705961019986,0.985240282501282,9_118
GROOTGND,2017-01-10,The Netherlands,2017,53.30433333,7.15666667,1.0,1.0,SPM,O-MAJ,CPHL,W,,2.3,ug/l,A,580733.0,51856496.0,2279174.0,2017,1,10,1.0,2017-01-10T00:00:00+00:00,2017-01-11T00:00:00+00:00,2017-01-10T12:00:00+00:00,64.0,50.0,14.0,0.7581552139350346,0.0766556803914149,0.6771653294563293,0.8818897604942322,1.0146231651306152,0.0415437041783039,0.9763779640197754,1.0708661079406738,1.4787224531173706,0.0181183815002441,1.4606040716171265,1.4968408346176147,-0.5455568092209953,0.0546483787987003,-0.6299212574958801,-0.4409448802471161,0.1116422835205282,0.0417345960470136,0.0708661302924156,0.1692913323640823,0.0890251105385167,0.0190882710524686,0.0710226744413375,0.1279885321855545,0.0889165529182978,0.0200386948252923,0.0708395689725875,0.1341959983110427,0.1242622179644448,0.0206705344628943,0.1060335114598274,0.1705435365438461,0.129267690969365,0.0217374759816953,0.1122775971889495,0.1786004304885864,0.1216659636369773,0.0219371750888665,0.1045136898756027,0.1723197102546692,0.1185517710234437,0.0218146141029739,0.1021515578031539,0.1692434549331665,0.1155945254223687,0.0217095745632557,0.0996978729963302,0.1661854982376098,0.0927828108625752,0.0350016661056421,0.0689169019460678,0.1752861142158508,12.0,True,ok,,1200.0,7.0,100.0,mostRecent,month_2017_01,0.17117705961019986,0.985240282501282,9_118
HUIBGOT,2017-01-10,The Netherlands,2017,53.55916667,6.66116667,1.0,1.0,SPM,O-MAJ,CPHL,W,,1.14,ug/l,A,580733.0,51856498.0,2279175.0,2017,1,10,1.0,2017-01-10T00:00:00+00:00,2017-01-11T00:00:00+00:00,2017-01-10T12:00:00+00:00,64.0,4.0,60.0,1.0207348920404915,0.4277119234469488,0.1417322754859924,1.5905511379241943,0.4811023558179538,0.0202133852818271,0.4566929042339325,0.5196850299835205,1.0828365753094356,0.0788945967602369,0.9714087843894958,1.2250655889511108,-0.1064960703253745,0.4616206390487787,-0.6299212574958801,1.0,-0.5321522345145543,0.0380294551794479,-0.5984252095222473,-0.4803149700164795,0.0305615420298029,0.0217179284395948,0.0089846504852175,0.0931974276900291,0.0244999556957433,0.0221927973945215,0.0039674071595072,0.0934904068708419,0.0433854199325044,0.0228039195344077,0.0275338012725114,0.1168370619416236,0.0300372340716421,0.0232915223700911,0.016748558729887,0.1063448041677475,0.0177407160401344,0.0233854236728356,0.0060914955101907,0.0946256965398788,0.0150157183098296,0.023281870852517,0.0041505182161927,0.0918790251016616,0.011507920618169,0.0230885484914009,0.0010559412185102,0.087795652449131,0.0086147660381357,0.0253854629625923,-0.0005371249862946,0.0927579626441001,12.0,True,ok,,1200.0,7.0,100.0,mostRecent,month_2017_01,0.17117705961019986,0.985240282501282,8_119
ROTTMPT3,2017-01-10,The Netherlands,2017,53.5655,6.56283333,1.0,1.0,SPM,O-MAJ,CPHL,W,,1.6,ug/l,A,580733.0,51856500.0,2279176.0,2017,1,10,1.0,2017-01-10T00:00:00+00:00,2017-01-11T00:00:00+00:00,2017-01-10T12:00:00+00:00,64.0,10.0,54.0,0.71653543026359,0.0663130065815698,0.5984252095222473,0.8346456289291382,0.6567512298071826,0.1163030561670248,0.4881889820098877,0.9291338324546814,1.511939424055594,0.1067206743656245,1.3518940210342407,1.7504976987838743,-0.5352143540426535,0.0495651892671955,-0.6181102395057678,-0.4527558982372284,-0.3410615435353031,0.0584262011665606,-0.4409448802471161,-0.2440944910049438,0.063264872809803,0.0077425243213004,0.0480971708893775,0.0766808092594146,0.0606972482055425,0.0054480080220498,0.049855038523674,0.070216991007328,0.0861551106252052,0.0041485674534934,0.0788415223360061,0.0944792032241821,0.058680313259915,0.0037503297287135,0.0548173487186431,0.0699423253536224,0.0378575341569052,0.0050904693190164,0.0330820642411708,0.0509170815348625,0.0331047849936617,0.0043570655991491,0.0275887344032526,0.0437025055289268,0.0207956525738592,0.0046640170347436,0.0162358488887548,0.0328623317182064,0.0009152170246967,0.0023233409448535,-0.0010864580981433,0.0065675843507051,12.0,True,ok,,1200.0,7.0,100.0,mostRecent,month_2017_01,0.17117705961019986,0.985240282501282,8_119
