feature,importance_gain
s3_B11_min,0.09578608
s3_B10_min,0.07045422
s3_B11_mean,0.06525714
s3_B04_min,0.043531764
s3_B08_min,0.043247763
s3_B11_stDev,0.042611215
s3_B17_stDev,0.040565044
s3_B08_max,0.03731953
s3_B06_min,0.037089422
s3_B10_mean,0.03587325
s3_B04_mean,0.034179855
s3_B06_mean,0.03370912
s3_B06_max,0.03250828
s3_B07_min,0.030844448
s3_B17_mean,0.02705178
s3_B07_mean,0.02648741
s3_B17_max,0.026434556
s3_B03_min,0.025536776
s3_B11_max,0.024519086
s3_B10_max,0.02309709
s3_B07_max,0.022771206
s3_B04_stDev,0.021644143
s3_B08_mean,0.020791396
s3_B17_min,0.01960501
s3_B04_max,0.01858219
s3_B07_stDev,0.017483182
s3_B06_stDev,0.016629416
s3_B10_stDev,0.016581789
s3_B03_mean,0.01456593
s3_B08_stDev,0.01376103
s3_B03_max,0.011369613
s3_B03_stDev,0.010111216
