feature,importance
s3_KD490_M07_max,0.05340310205382908
s3_ADG443_NN_max,0.052257644233420796
s3_TSM_NN_max,0.04682144510060275
s3_TSM_NN_mean,0.04299156344821691
s3_CHL_OC4ME_max,0.04242783756686407
s3_TSM_NN_min,0.03518251155428398
s3_B17_max,0.0292812834196817
s3_ADG443_NN_mean,0.029073445588380764
s3_ADG443_NN_min,0.02876841182027606
s3_KD490_M07_mean,0.02623135952542839
s3_B11_max,0.025945592601037955
s3_B11_min,0.025658779117731585
Longitude,0.02344563328913889
Latitude,0.023098645756948002
s3_CHL_NN_mean,0.022644531248148775
s3_B03_min,0.02251410117675425
s3_B17_stDev,0.021554910423338604
s3_KD490_M07_stDev,0.020788005518479053
s3_B10_min,0.020638102351100866
s3_CHL_NN_min,0.018549138329834576
s3_CHL_OC4ME_mean,0.01822556150451835
s3_B17_min,0.017883964806756195
s3_CHL_NN_max,0.017590820474909882
s3_B07_min,0.01701084317615275
s3_B08_min,0.015432291588395293
s3_CHL_NN_stDev,0.014914052665685823
s3_B04_min,0.01464710172371585
doy_sin,0.01451563127942357
s3_TSM_NN_stDev,0.014435919693298514
s3_B17_mean,0.014182598671648998
s3_B11_stDev,0.013904834905136389
doy_cos,0.012933642209957052
s3_CHL_OC4ME_stDev,0.012164599803771005
s3_B07_stDev,0.011074793244695654
s3_B06_min,0.010104909537617652
s3_B11_mean,0.009729274383469318
s3_B10_max,0.009631580343578887
s3_KD490_M07_min,0.009399239063761385
s3_B10_mean,0.009298354094093872
s3_ADG443_NN_stDev,0.009207894706280419
s3_B08_mean,0.009124110586250333
s3_B04_mean,0.008462558229166263
s3_B03_max,0.008431633426565674
s3_B03_mean,0.008244805405233287
s3_B06_stDev,0.008085598117136345
s3_B04_max,0.007985201676424499
s3_B08_max,0.007767715219089194
s3_B08_stDev,0.007278193071868521
s3_B04_stDev,0.007010475994856809
s3_B06_max,0.006904219300572805
s3_B07_max,0.006842823369773645
s3_CHL_OC4ME_min,0.006516061889463553
s3_B06_mean,0.006511814678322483
s3_B03_stDev,0.006404740200819354
s3_B10_stDev,0.006192991753673842
s3_B07_mean,0.006074302444102199
valid_pixel_count,0.0045988026363172575
