feature,importance_gain
s3_KD490_M07_max,0.1270917
s3_TSM_NN_max,0.078138255
s3_CHL_OC4ME_max,0.06764698
s3_ADG443_NN_max,0.05142644
s3_TSM_NN_mean,0.049303133
s3_TSM_NN_min,0.031020012
s3_B11_min,0.029557526
s3_B10_min,0.027286248
s3_B08_min,0.02565432
s3_B10_mean,0.021466734
s3_CHL_NN_min,0.021432387
s3_B17_max,0.020365098
s3_ADG443_NN_min,0.01919831
s3_CHL_OC4ME_mean,0.01838022
s3_KD490_M07_mean,0.016920142
s3_B03_min,0.01607005
s3_B10_stDev,0.015858876
s3_KD490_M07_stDev,0.0150692
s3_B04_min,0.013227956
s3_CHL_NN_stDev,0.013081492
s3_CHL_NN_max,0.012509423
s3_B11_mean,0.01235285
Longitude,0.01208974
s3_B17_stDev,0.0120376805
s3_B06_mean,0.010964604
doy_sin,0.010680162
s3_CHL_OC4ME_stDev,0.01040986
s3_KD490_M07_min,0.010331121
s3_B04_mean,0.010179675
s3_B08_mean,0.010117847
s3_B11_max,0.010077777
s3_B07_min,0.009722481
s3_B17_min,0.009706497
s3_B06_stDev,0.009335298
s3_CHL_NN_mean,0.009234491
s3_B11_stDev,0.008916924
valid_pixel_count,0.008774126
s3_ADG443_NN_mean,0.008735533
doy_cos,0.008687398
s3_B07_mean,0.008658222
s3_B10_max,0.008492493
s3_B07_max,0.00818645
s3_B08_max,0.008164172
s3_B04_stDev,0.007908667
s3_B06_min,0.0077671045
s3_B06_max,0.007625283
s3_B17_mean,0.00744504
s3_B03_max,0.007174942
Latitude,0.007161504
s3_B03_mean,0.007050962
s3_B04_max,0.0068638925
s3_CHL_OC4ME_min,0.0067050573
s3_B03_stDev,0.006669638
s3_B07_stDev,0.006125224
s3_B08_stDev,0.0054044076
s3_TSM_NN_stDev,0.0051200474
s3_ADG443_NN_stDev,0.0044183084
