feature,importance
Longitude,0.19492837666254922
Latitude,0.07992888522486356
s3_CHL_NN_max,0.03378149210477087
doy_sin,0.03172995484426983
doy_cos,0.029845297497569416
s3_TSM_NN_max,0.029039671413344497
s3_TSM_NN_min,0.025421496520717183
s3_TSM_NN_mean,0.02408038807277578
s3_B17_max,0.021981255079450087
s3_B03_max,0.021198653574427344
s3_B11_min,0.01995399258605307
s3_CHL_OC4ME_min,0.019499394993197302
s3_B04_min,0.017172790483109684
s3_CHL_NN_mean,0.01697263489106234
s3_B03_mean,0.016360653358041967
s3_B04_max,0.01626831710460062
s3_B11_max,0.015607520873408253
s3_ADG443_NN_min,0.013588839534726229
s3_KD490_M07_min,0.013561247986964248
s3_B03_min,0.013250532764798513
s3_B08_min,0.013217243156951747
s3_B10_min,0.013142423590972169
s3_B11_mean,0.013010337636975325
s3_B07_min,0.012732486429386543
s3_B17_stDev,0.012212170605098093
s3_CHL_OC4ME_mean,0.012127082669135418
s3_ADG443_NN_mean,0.011841734287580093
s3_B03_stDev,0.011206078186588211
s3_CHL_NN_min,0.011187127628443172
s3_KD490_M07_max,0.011155220990747835
s3_KD490_M07_mean,0.010734880787012173
s3_B08_max,0.010632423797512223
s3_B06_min,0.010473152539201542
s3_B06_max,0.010017902821918348
s3_B07_mean,0.009968046347243615
s3_B11_stDev,0.009843862223802456
s3_B08_mean,0.009831428032225791
s3_B17_mean,0.0097448171663369
s3_B04_mean,0.009653298430184882
s3_ADG443_NN_max,0.00959249918164955
s3_CHL_OC4ME_max,0.009430632693495922
s3_B07_max,0.008782955169915993
s3_B10_mean,0.008723026808630917
s3_KD490_M07_stDev,0.008641916459269608
s3_CHL_OC4ME_stDev,0.008551659477292054
s3_B06_mean,0.008420215603768537
s3_B06_stDev,0.007888407700859065
s3_B10_max,0.007874008660641682
s3_TSM_NN_stDev,0.007717529595577733
s3_B17_min,0.0072457609918814385
s3_ADG443_NN_stDev,0.0068714378904446245
s3_B10_stDev,0.006862028094183172
s3_CHL_NN_stDev,0.0062280680427216385
s3_B04_stDev,0.00591539067755284
s3_B08_stDev,0.005896482450608072
s3_B07_stDev,0.004802169307772278
valid_pixel_count,0.003652698295718258
