feature,importance_gain
Longitude,0.18127899
s3_TSM_NN_min,0.088862054
s3_CHL_NN_mean,0.055448685
s3_CHL_NN_min,0.027554689
s3_CHL_OC4ME_min,0.025489725
s3_CHL_NN_max,0.023631658
s3_B07_max,0.020238793
doy_sin,0.019974796
Latitude,0.019859703
s3_CHL_OC4ME_mean,0.019587062
s3_TSM_NN_max,0.019094614
s3_B03_stDev,0.01731247
s3_CHL_OC4ME_max,0.01708133
s3_B07_min,0.016946312
s3_B10_min,0.016487865
s3_B03_min,0.016020875
s3_CHL_OC4ME_stDev,0.01593109
s3_B03_mean,0.015706785
doy_cos,0.015666021
s3_KD490_M07_max,0.015208064
s3_KD490_M07_mean,0.015000273
s3_ADG443_NN_mean,0.014992295
s3_B06_max,0.014612962
s3_KD490_M07_min,0.014241074
s3_B04_max,0.013794852
s3_TSM_NN_mean,0.013383526
s3_ADG443_NN_min,0.013373031
s3_B08_max,0.013087875
s3_B08_mean,0.012486371
s3_KD490_M07_stDev,0.012320619
s3_B10_stDev,0.011818835
s3_B10_max,0.010636517
s3_B03_max,0.010406753
s3_B11_max,0.010152642
s3_B17_max,0.009971109
s3_B17_min,0.009216696
s3_B10_mean,0.009140528
s3_B11_mean,0.009106884
s3_B17_mean,0.008999085
s3_CHL_NN_stDev,0.008875034
s3_B07_mean,0.008833511
s3_B17_stDev,0.008421605
s3_B04_min,0.0083502
s3_B11_min,0.008342976
s3_B04_stDev,0.008062035
s3_B08_min,0.007432878
valid_pixel_count,0.0073501803
s3_B04_mean,0.007285249
s3_B06_stDev,0.007246524
s3_B06_mean,0.0066982093
s3_TSM_NN_stDev,0.0065808706
s3_B06_min,0.005898366
s3_B11_stDev,0.005892019
s3_B07_stDev,0.005668499
s3_ADG443_NN_stDev,0.0056163254
s3_ADG443_NN_max,0.005184116
s3_B08_stDev,0.0041378275
